Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Ce,17515,Ce Ile-De-France,581,Taverny/00581,56 AVENUE DE LA GARE,Taverny,95150.0,Interne,Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45},Gvv,hors service,"49.025734, 2.220965",49.025734,2.220965
Ce,17515,Ce Ile-De-France,576,Sarcelles Flanades/00576,17 BOULEVARD EDOUARD BRANLYCENTRE COMMERCIAL,Sarcelles,95200.0,Interne,Mar et Jeu et Ven {09:15-12:45 15:00-18:30} Mer {09:15-12:45 14:00-16:00} Sam {08:30-12:30},Car,disponible,"48.978519, 2.379016",48.978519,2.379016
Ce,17515,Ce Ile-De-France,532,Gagny/00532,6 RUE SAINT GERMAIN,Gagny,93220.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.884841, 2.532341",48.884841,2.532341
Ce,17515,Ce Ile-De-France,532,Gagny/00532,6 RUE SAINT GERMAIN,Gagny,93220.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.884841, 2.532341",48.884841,2.532341
Ce,17515,Ce Ile-De-France,564,Flins Sur Seine/00564,ROUTE DEPARTMENTALE 114CENTRE COMMERCIAL,Flins-Sur-Seine,78410.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.967653, 1.870474",48.967653,1.870474
Bp,10548,Banque De Savoie,1380,Val D'Isere/01380,PLACE DU DOCTEUR PETRIBP231,Val D'Isere,73150.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"45.462087, 6.963722",45.462087,6.963722
Ce,13485,Ce Languedoc-Roussillon,50,Narbonne La Mayrale/00050,8 ROUTE DE MARCORIGNAN,Narbonne,11100.0,Dans La Rue,TLJ {00:00-23:59},Gdv,disponible,"43.19099, 2.983517",43.19099,2.983517
Bp,10548,Banque De Savoie,1780,Allevard/01780,RUE CHARAMIL,Allevard,38580.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"45.393015, 6.074235",45.393015,6.074235
Bp,16807,Bp Auvergne Rhone Alpes,77,Les Menuires/00077,IMMEUBLE L'OISANS,Les-Menuires,73440.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,,,
Ce,13485,Ce Languedoc-Roussillon,201,Beziers Font Neuve/00201,AVENUE DE LA FONT NEUVE,Beziers,34500.0,Interne,Mar et Mer et Ven {08:30-12:30 13:30-18:00} Jeu {08:30-12:30 14:30-18:00} Sam {08:30-12:30},Gdv,disponible,"43.351677, 3.217985",43.351677,3.217985
Ce,13485,Ce Languedoc-Roussillon,195,Murviel Les Beziers/00195,10 RUE GEORGES DURAND,Murviel-Les-Beziers,34490.0,Sas,TLJ {06:00-23:00},Gab,disponible,"43.440327, 3.145891",43.440327,3.145891
Ce,14445,Ce Bretagne-Pays De Loire,278,Gennes/00278,3 PLACE DE L ETOILE,Gennes,49350.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"47.340973, -0.231232",47.340973,-0.231232
Ce,14445,Ce Bretagne-Pays De Loire,324,Angers Les Plantes/00324,ANGLE RUE SAVARY LISE,Angers,49100.0,Interne,Mar au Ven {10:00-12:30 14:00-19:00} Sam {09:00-12:15},Drm,disponible,"47.472479, -0.54277",47.472479,-0.54277
Ce,17515,Ce Ile-De-France,628,Fontenay Le Fleury/00628,2 ET 4 RUE LOUIS PASTEUR,Fontenay-Le-Fleury,78330.0,Dans La Rue,TLJ {06:00-23:59},Gab,service dégradé,"48.811904, 2.045967",48.811904,2.045967
Ce,17515,Ce Ile-De-France,628,Fontenay Le Fleury/00628,2 ET 4 RUE LOUIS PASTEUR,Fontenay-Le-Fleury,78330.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.811904, 2.045967",48.811904,2.045967
Bp,16807,Bp Auvergne Rhone Alpes,63,Cognin/00063,18 ROUTE DE LYON,Cognin,73160.0,Sas,TLJ {06:00-22:00},Gab,disponible,"45.561804, 5.898773",45.561804,5.898773
Ce,13485,Ce Languedoc-Roussillon,51,Lezignan/00051,20 AVENUE WILSON,Lezignan-Corbieres,11200.0,Interne,,Udv,disponible,"43.200956, 2.760643",43.200956,2.760643
